STOP_ID, LONGITUDE, LATITUDE, OBJECTID
"18514",144.918257,-37.772026,639
"18515",144.916322,-37.771812,640
"17938",144.915997,-37.771644,510
"18519",144.91607,-37.77187,644
"17945",144.915943,-37.773571,516
"18520",144.91578,-37.773703,645
"18516",144.912757,-37.771415,641
"17937",144.91233,-37.771236,509
"17946",144.91556,-37.775889,517
"18521",144.915395,-37.776103,646
"17936",144.909003,-37.770862,508
"18517",144.90918,-37.771027,642
"17947",144.915225,-37.778533,518
"18522",144.914949,-37.778627,647
"18518",144.905672,-37.770631,643
"17935",144.905121,-37.770432,507
"17948",144.914787,-37.780355,519
"17949",144.916712,-37.782587,520
"18524",144.916675,-37.782668,648
"18485",144.902571,-37.770297,291
"992",144.902055,-37.77008,1665
"18486",144.899087,-37.769829,292
"1083",144.898841,-37.769699,160
"18487",144.896122,-37.769506,293
"4945",144.895673,-37.769318,1577
"18488",144.892184,-37.769057,294
"13995",144.891985,-37.768891,327
"18489",144.889548,-37.768739,295
"15559",144.888938,-37.768629,331
"18490",144.887157,-37.769003,296
"17917",144.886729,-37.768887,489
"18491",144.883319,-37.769403,297
"17918",144.882813,-37.769637,490
"22320",144.882425,-37.769315,1091
"18497",144.89124,-37.779917,303
"17924",144.890931,-37.780002,496
"17944",144.877977,-37.768856,515
"17921",144.885571,-37.77604,493
"17919",144.882181,-37.773104,491
"18494",144.885643,-37.776293,300
"18492",144.882266,-37.773286,298
"18498",144.891348,-37.782118,304
"17925",144.891151,-37.782241,497
"18496",144.888094,-37.779545,302
"17923",144.887786,-37.779594,495
"18493",144.881992,-37.77493,299
"17920",144.882143,-37.775212,492
"18495",144.885206,-37.778502,301
"17922",144.88575,-37.779332,494
"18080",144.945708,-37.7548,582
"18559",144.94555,-37.754779,680
"18560",144.945655,-37.753429,681
"18081",144.945901,-37.753163,583
"19376",144.915894,-37.752663,1251
"19658",144.915649,-37.752496,1399
"19659",144.914361,-37.750662,1400
"19467",144.914226,-37.750227,1332
"18561",144.946354,-37.749512,682
"18082",144.946552,-37.749317,584
"19660",144.912803,-37.748355,1401
"19468",144.912754,-37.748101,1333
"18562",144.944334,-37.746611,683
"19469",144.91163,-37.746486,1334
"18083",144.944556,-37.746399,585
"19661",144.911463,-37.746384,1402
"19662",144.910351,-37.74477,1403
"19663",144.909097,-37.744162,1404
"18563",144.944767,-37.744122,684
"19470",144.908944,-37.743952,1335
"18084",144.944999,-37.743928,586
"19664",144.905696,-37.742821,1405
"19471",144.905768,-37.742688,1336
"18564",144.945133,-37.741966,685
"19665",144.90297,-37.741683,1406
"18085",144.945404,-37.741592,587
"19472",144.902885,-37.741501,1337
"19666",144.899415,-37.740204,1407
"18086",144.945592,-37.740117,588
"19473",144.899351,-37.740032,1338
"19667",144.895926,-37.738772,1408
"21196",144.895829,-37.738599,1072
"20774",144.892547,-37.737477,985
"22305",144.89235,-37.737231,1089
"19669",144.890168,-37.736552,1409
"19475",144.889365,-37.735258,1339
"19670",144.889316,-37.734959,1410
"19671",144.889696,-37.732371,1411
"19477",144.889833,-37.732355,1340
"19672",144.890128,-37.729963,1412
"19478",144.890254,-37.729912,1341
"19479",144.890668,-37.727324,1342
"19673",144.890603,-37.727205,1413
"19674",144.891286,-37.723117,1414
"19480",144.89139,-37.723065,1343
"19675",144.891975,-37.718416,1415
"19481",144.892079,-37.718373,1344
"19482",144.890562,-37.71384,1345
"18079",144.945385,-37.756623,581
"18558",144.945154,-37.756764,679
"18078",144.944991,-37.758563,580
"18557",144.944771,-37.75874,678
"18077",144.944384,-37.76204,579
"18556",144.944154,-37.762162,677
"18076",144.94389,-37.764708,578
"18555",144.94368,-37.764912,676
"18075",144.943319,-37.767311,577
"18554",144.943095,-37.767614,675
"19274",144.925817,-37.755812,1170
"19626",144.926036,-37.756113,1395
"20775",144.926461,-37.757932,986
"19625",144.92635,-37.758255,1394
"19627",144.923164,-37.755693,1396
"19275",144.922762,-37.75547,1171
"19272",144.926286,-37.75974,1169
"19624",144.926078,-37.759863,1393
"19628",144.920958,-37.755456,1397
"19276",144.920205,-37.755172,1172
"19277",144.917601,-37.754928,1173
"19657",144.917387,-37.754879,1398
"19271",144.925811,-37.762526,1168
"19623",144.92559,-37.762702,1392
"19609",144.925361,-37.764005,1391
"19270",144.925455,-37.764313,1167
"19608",144.92481,-37.766653,1390
"19269",144.924916,-37.766935,1166
"19268",144.926233,-37.770599,1165
"19606",144.926071,-37.770686,1389
"18511",144.924443,-37.770053,313
"17942",144.924284,-37.770051,514
"19267",144.926908,-37.772431,1164
"19605",144.926949,-37.773008,1388
"19266",144.928535,-37.775542,1163
"19604",144.928473,-37.775748,1387
"19265",144.929833,-37.777457,1162
"18512",144.924024,-37.772452,637
"19603",144.92977,-37.777699,1386
"17941",144.923705,-37.772474,513
"19264",144.93122,-37.779437,1161
"19602",144.931312,-37.779808,1385
"19263",144.932626,-37.78112,1160
