STOP_ID, LONGITUDE, LATITUDE, OBJECTID
"19851",145.070298,-37.835716,27
"19909",145.022635,-37.834672,85
"19852",145.069646,-37.831505,28
"19871",145.244555,-37.828322,47
"19906",145.007555,-37.82756,82
"19853",145.058697,-37.826567,29
"19907",144.997066,-37.8264,83
"19892",145.06819,-37.825894,68
"19827",145.221837,-38.374235,3
"19828",145.204043,-38.366123,4
"19829",145.189602,-38.354033,5
"19830",145.178027,-38.33739,6
"19831",145.18598,-38.305659,7
"19832",145.186401,-38.259815,8
"19833",145.176245,-38.225342,9
"19834",145.160526,-38.194043,10
"19836",145.139534,-38.152034,12
"19855",145.126162,-38.14299,31
"19856",145.135295,-38.121742,32
"19857",145.12823,-38.104021,33
"19886",145.280599,-38.099537,62
"19880",145.486379,-38.080614,56
"19887",145.263511,-38.079,63
"19858",145.122833,-38.076504,34
"45794",145.437791,-38.07129,214
"19881",145.410987,-38.066146,57
"19859",145.11968,-38.062945,35
"45793",145.249275,-38.057341,213
"19860",145.116041,-38.051955,36
"19882",145.366074,-38.050831,58
"19883",145.345726,-38.040408,59
"19861",145.108536,-38.038056,37
"19884",145.303969,-38.027809,60
"19862",145.10215,-38.02722,38
"19885",145.269777,-38.01774,61
"19863",145.087659,-38.006583,39
"19864",145.076327,-37.993079,40
"19888",145.209725,-37.989968,64
"19865",145.065166,-37.981865,41
"19889",145.1916,-37.978255,65
"19866",145.054558,-37.96665,42
"19890",145.176325,-37.966628,66
"52095",145.049121,-37.958756,217
"19891",145.162826,-37.956505,67
"19948",145.004561,-37.95033,124
"19913",145.153452,-37.949509,89
"19872",145.041872,-37.948425,48
"19914",145.138833,-37.938491,90
"19949",145.001471,-37.937977,125
"19937",145.036738,-37.934353,113
"19950",144.989154,-37.926484,126
"19938",145.03547,-37.925149,114
"19915",145.120534,-37.924683,91
"19939",145.036995,-37.917425,115
"19951",144.996299,-37.915134,127
"19916",145.102364,-37.911017,92
"19940",145.038299,-37.910309,116
